name,slug,%,date_of_information,ranking,region
"Cocos (Keeling) Islands","cocos-keeling-islands","0.1","2011",1,"Australia and Oceania"
"Qatar","qatar","0.26","2021",2,"Middle East"
"Cambodia","cambodia","0.61","2021",3,"East and Southeast Asia"
"Niger","niger","0.75","2021",4,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1","2016",5,"South America"
"Gibraltar","gibraltar","1","2016",6,"Europe"
"Solomon Islands","solomon-islands","1.03","2021",7,"Australia and Oceania"
"Laos","laos","1.26","2021",8,"East and Southeast Asia"
"Thailand","thailand","1.42","2021",9,"East and Southeast Asia"
"Benin","benin","1.57","2021",10,"Africa"
"Rwanda","rwanda","1.61","2021",11,"Africa"
"Palau","palau","1.7","2015",12,"Australia and Oceania"
"Burundi","burundi","1.79","2021",13,"Africa"
"Bahrain","bahrain","1.87","2021",14,"Middle East"
"Chad","chad","1.88","2021",15,"Africa"
"Isle of Man","isle-of-man","2","April 2011",16,"Europe"
"Tokelau","tokelau","2","2015",17,"Australia and Oceania"
"Monaco","monaco","2","2012",18,"Europe"
"Burma","burma","2.17","2021",19,"East and Southeast Asia"
"Vietnam","vietnam","2.17","2021",20,"East and Southeast Asia"
"Vanuatu","vanuatu","2.18","2021",21,"Australia and Oceania"
"Faroe Islands","faroe-islands","2.2","2017",22,"Europe"
"Liechtenstein","liechtenstein","2.4","2015",23,"Europe"
"Philippines","philippines","2.41","2021",24,"East and Southeast Asia"
"Madagascar","madagascar","2.59","2021",25,"Africa"
"Korea, North","korea-north","2.59","2021",26,"East and Southeast Asia"
"Tanzania","tanzania","2.65","2021",27,"Africa"
"Papua New Guinea","papua-new-guinea","2.75","2021",28,"East and Southeast Asia"
"Cuba","cuba","2.76","2021",29,"Central America and the Caribbean"
"Japan","japan","2.8","2021",30,"East and Southeast Asia"
"Czechia","czechia","2.89","2021",31,"Europe"
"British Virgin Islands","british-virgin-islands","2.9","2015",32,"Central America and the Caribbean"
"Uganda","uganda","2.94","2021",33,"Africa"
"Seychelles","seychelles","3","2017",34,"Africa"
"Macau","macau","3.01","2021",35,"East and Southeast Asia"
"Oman","oman","3.12","2021",36,"Middle East"
"United Arab Emirates","united-arab-emirates","3.36","2021",37,"Middle East"
"Poland","poland","3.37","2021",38,"Europe"
"Cote d'Ivoire","cote-divoire","3.47","2021",39,"Africa"
"Malta","malta","3.5","2021",40,"Europe"
"Korea, South","korea-south","3.53","2021",41,"East and Southeast Asia"
"Germany","germany","3.54","2021",42,"Europe"
"Guatemala","guatemala","3.57","2021",43,"Central America and the Caribbean"
"Singapore","singapore","3.62","2021",44,"East and Southeast Asia"
"Ethiopia","ethiopia","3.69","2021",45,"Africa"
"Andorra","andorra","3.7","2016",46,"Europe"
"Kuwait","kuwait","3.71","2021",47,"Middle East"
"Senegal","senegal","3.72","2021",48,"Africa"
"Taiwan","taiwan","3.73","2019",49,"East and Southeast Asia"
"Cameroon","cameroon","3.87","2021",50,"Africa"
"Moldova","moldova","3.96","2021",51,"Europe"
"Tonga","tonga","3.97","2021",52,"Australia and Oceania"
"Mozambique","mozambique","3.98","2021",53,"Africa"
"Cayman Islands","cayman-islands","4","2008",54,"Central America and the Caribbean"
"Togo","togo","4","2021",55,"Africa"
"Netherlands","netherlands","4.01","2021",56,"Europe"
"Liberia","liberia","4.09","2021",57,"Africa"
"New Zealand","new-zealand","4.12","2021",58,"Australia and Oceania"
"Hungary","hungary","4.12","2021",59,"Europe"
"Bhutan","bhutan","4.33","2021",60,"South Asia"
