name,slug,value,date_of_information,ranking,region
"China","china","$24,861,000,000,000","2021",1,"East and Southeast Asia"
"United States","united-states","$21,132,000,000,000","2021",2,"North America"
"India","india","$9,279,000,000,000","2021",3,"South Asia"
"Japan","japan","$5,126,000,000,000","2021",4,"East and Southeast Asia"
"Germany","germany","$4,523,000,000,000","2022",5,"Europe"
"Russia","russia","$4,027,000,000,000","2022",6,"Central Asia"
"Indonesia","indonesia","$3,246,000,000,000","2021",7,"East and Southeast Asia"
"United Kingdom","united-kingdom","$3,136,000,000,000","2022",8,"Europe"
"Brazil","brazil","$3,128,000,000,000","2021",9,"South America"
"France","france","$3,048,000,000,000","2021",10,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$2,817,000,000,000","2022",11,"Middle East"
"Italy","italy","$2,478,000,000,000","2021",12,"Europe"
"Mexico","mexico","$2,418,000,000,000","2021",13,"North America"
"Korea, South","korea-south","$2,289,000,000,000","2021",14,"East and Southeast Asia"
"Canada","canada","$1,832,000,000,000","2021",15,"North America"
"Spain","spain","$1,798,000,000,000","2021",16,"Europe"
"Saudi Arabia","saudi-arabia","$1,594,000,000,000","2021",17,"Middle East"
"Iran","iran","$1,319,000,000,000","2021",18,"Middle East"
"Poland","poland","$1,318,000,000,000","2021",19,"Europe"
"Australia","australia","$1,279,000,000,000","2021",20,"Australia and Oceania"
"Egypt","egypt","$1,264,000,000,000","2021",21,"Africa"
"Thailand","thailand","$1,223,000,000,000","2021",22,"East and Southeast Asia"
"Pakistan","pakistan","$1,211,000,000,000","2021",23,"South Asia"
"Taiwan","taiwan","$1,143,000,000,000","2019",24,"East and Southeast Asia"
"Nigeria","nigeria","$1,050,000,000,000","2021",25,"Africa"
"Vietnam","vietnam","$1,036,000,000,000","2021",26,"East and Southeast Asia"
"Bangladesh","bangladesh","$1,001,000,000,000","2021",27,"South Asia"
"Netherlands","netherlands","$992,675,000,000","2021",28,"Europe"
"Argentina","argentina","$986,134,000,000","2021",29,"South America"
"Philippines","philippines","$921,826,000,000","2021",30,"East and Southeast Asia"
"Malaysia","malaysia","$884,106,000,000","2021",31,"East and Southeast Asia"
"South Africa","south-africa","$790,625,000,000","2021",32,"Africa"
"Colombia","colombia","$754,645,000,000","2021",33,"South America"
"United Arab Emirates","united-arab-emirates","$653,067,000,000","2021",34,"Middle East"
"Romania","romania","$618,950,000,000","2022",35,"Europe"
"Switzerland","switzerland","$618,228,000,000","2021",36,"Europe"
"Belgium","belgium","$599,814,000,000","2021",37,"Europe"
"Sweden","sweden","$580,099,000,000","2022",38,"Europe"
"Singapore","singapore","$578,254,000,000","2021",39,"East and Southeast Asia"
"Ireland","ireland","$515,880,000,000","2021",40,"Europe"
"Kazakhstan","kazakhstan","$496,126,000,000","2021",41,"Central Asia"
"Chile","chile","$496,085,000,000","2021",42,"South America"
"Algeria","algeria","$487,716,000,000","2021",43,"Africa"
"Austria","austria","$484,698,000,000","2021",44,"Europe"
"Hong Kong","hong-kong","$444,624,000,000","2021",45,"East and Southeast Asia"
"Czechia","czechia","$428,016,000,000","2021",46,"Europe"
"Peru","peru","$421,937,000,000","2021",47,"South America"
"Israel","israel","$393,861,000,000","2021",48,"Middle East"
"Iraq","iraq","$390,165,000,000","2021",49,"Middle East"
"Ukraine","ukraine","$379,893,000,000","2022",50,"Europe"
"Norway","norway","$368,151,000,000","2022",51,"Europe"
"Denmark","denmark","$353,799,000,000","2022",52,"Europe"
"Portugal","portugal","$347,694,000,000","2021",53,"Europe"
"Hungary","hungary","$326,186,000,000","2021",54,"Europe"
"Greece","greece","$314,427,000,000","2021",55,"Europe"
"Morocco","morocco","$303,336,000,000","2021",56,"Africa"
"Sri Lanka","sri-lanka","$296,595,000,000","2021",57,"South Asia"
"Ethiopia","ethiopia","$278,945,000,000","2021",58,"Africa"
"Finland","finland","$274,576,000,000","2022",59,"Europe"
"Uzbekistan","uzbekistan","$270,062,000,000","2021",60,"Central Asia"
"Venezuela","venezuela","$269,068,000,000","2018",61,"South America"
"Kenya","kenya","$251,431,000,000","2021",62,"Africa"
"Qatar","qatar","$249,636,000,000","2021",63,"Middle East"
"New Zealand","new-zealand","$219,839,000,000","2021",64,"Australia and Oceania"
"Burma","burma","$216,948,000,000","2021",65,"East and Southeast Asia"
"Dominican Republic","dominican-republic","$207,082,000,000","2021",66,"Central America and the Caribbean"
"Angola","angola","$203,868,000,000","2021",67,"Africa"
"Kuwait","kuwait","$191,522,000,000","2020",68,"Middle East"
"Ecuador","ecuador","$189,880,000,000","2021",69,"South America"
"Belarus","belarus","$184,482,000,000","2021",70,"Europe"
"Ghana","ghana","$178,455,000,000","2021",71,"Africa"
"Bulgaria","bulgaria","$174,307,000,000","2022",72,"Europe"
