name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","$139,100","2009",1,"Europe"
"Monaco","monaco","$115,700","2015",2,"Europe"
"Luxembourg","luxembourg","$115,700","2021",3,"Europe"
"Singapore","singapore","$106,000","2021",4,"East and Southeast Asia"
"Ireland","ireland","$102,500","2021",5,"Europe"
"Qatar","qatar","$92,900","2021",6,"Middle East"
"Isle of Man","isle-of-man","$84,600","2014",7,"Europe"
"Bermuda","bermuda","$80,300","2021",8,"North America"
"Switzerland","switzerland","$71,000","2021",9,"Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015",10,"South America"
"United Arab Emirates","united-arab-emirates","$69,700","2021",11,"Middle East"
"Cayman Islands","cayman-islands","$67,500","2021",12,"Central America and the Caribbean"
"Norway","norway","$67,500","2022",13,"Europe"
"Macau","macau","$64,800","2021",14,"East and Southeast Asia"
"United States","united-states","$63,700","2021",15,"North America"
"Gibraltar","gibraltar","$61,700","2014",16,"Europe"
"Brunei","brunei","$60,100","2021",17,"East and Southeast Asia"
"Hong Kong","hong-kong","$60,000","2021",18,"East and Southeast Asia"
"Denmark","denmark","$59,900","2022",19,"Europe"
"Netherlands","netherlands","$56,600","2021",20,"Europe"
"Jersey","jersey","$56,600","2016",21,"Europe"
"San Marino","san-marino","$56,400","2020",22,"Europe"
"Sweden","sweden","$55,300","2022",23,"Europe"
"Austria","austria","$54,100","2021",24,"Europe"
"Germany","germany","$54,000","2022",25,"Europe"
"Iceland","iceland","$53,600","2021",26,"Europe"
"Guernsey","guernsey","$52,500","2014",27,"Europe"
"Belgium","belgium","$51,700","2021",28,"Europe"
"Andorra","andorra","$49,900","2015",29,"Europe"
"Australia","australia","$49,800","2021",30,"Australia and Oceania"
"Bahrain","bahrain","$49,400","2021",31,"Middle East"
"Finland","finland","$49,400","2022",32,"Europe"
"Canada","canada","$47,900","2021",33,"North America"
"Taiwan","taiwan","$47,800","2019",34,"East and Southeast Asia"
"United Kingdom","united-kingdom","$46,800","2022",35,"Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","$46,200","2006",36,"North America"
"France","france","$45,000","2021",37,"Europe"
"Malta","malta","$44,700","2021",38,"Europe"
"Saudi Arabia","saudi-arabia","$44,300","2021",39,"Middle East"
"Korea, South","korea-south","$44,200","2021",40,"East and Southeast Asia"
"Kuwait","kuwait","$43,900","2020",41,"Middle East"
"New Zealand","new-zealand","$42,900","2021",42,"Australia and Oceania"
"Israel","israel","$42,100","2021",43,"Middle East"
"Italy","italy","$41,900","2021",44,"Europe"
"Greenland","greenland","$41,800","2015",45,"North America"
"Cyprus","cyprus","$41,700","2021",46,"Europe"
"Japan","japan","$40,800","2021",47,"East and Southeast Asia"
"Czechia","czechia","$40,700","2021",48,"Europe"
"Slovenia","slovenia","$40,000","2021",49,"Europe"
"Faroe Islands","faroe-islands","$40,000","2014",50,"Europe"
"Lithuania","lithuania","$39,300","2021",51,"Europe"
"Aruba","aruba","$38,900","2021",52,"Central America and the Caribbean"
"Estonia","estonia","$38,700","2021",53,"Europe"
"Spain","spain","$37,900","2021",54,"Europe"
"Virgin Islands","virgin-islands","$37,000","2016",55,"Central America and the Caribbean"
