name,slug,value,date_of_information,ranking,region
"United States","united-states","$20,275,951,000,000","2019",1,"North America"
"United Kingdom","united-kingdom","$8,722,000,000,000","2019",2,"Europe"
"France","france","$6,356,000,000,000","2019",3,"Europe"
"Germany","germany","$5,671,463,000,000","2019",4,"Europe"
"Netherlands","netherlands","$4,345,413,000,000","2019",5,"Europe"
"Luxembourg","luxembourg","$4,266,792,000,000","2019",6,"Europe"
"Japan","japan","$4,254,271,000,000","2019",7,"East and Southeast Asia"
"Australia","australia","$3,115,913,000,000","2019",8,"Australia and Oceania"
"Ireland","ireland","$2,829,000,000,000","2019",9,"Europe"
"Italy","italy","$2,463,208,000,000","2019",10,"Europe"
"Spain","spain","$2,338,000,000,000","2019",11,"Europe"
"Canada","canada","$2,124,887,000,000","2019",12,"North America"
"China","china","$2,027,950,000,000","2019",13,"East and Southeast Asia"
"Switzerland","switzerland","$1,909,000,000,000","2019",14,"Europe"
"Hong Kong","hong-kong","$1,648,409,000,000","2019",15,"East and Southeast Asia"
"Singapore","singapore","$1,557,646,000,000","2019",16,"East and Southeast Asia"
"Belgium","belgium","$1,317,513,000,000","2019",17,"Europe"
"Sweden","sweden","$911,317,000,000","2019",18,"Europe"
"Austria","austria","$688,434,000,000","2019",19,"Europe"
"Brazil","brazil","$681,336,000,000","2019",20,"South America"
"Norway","norway","$651,040,000,000","2019",21,"Europe"
"Finland","finland","$631,549,000,000","2019",22,"Europe"
"India","india","$555,388,000,000","2019",23,"South Asia"
"Denmark","denmark","$504,808,000,000","2019",24,"Europe"
"Greece","greece","$484,888,000,000","2019",25,"Europe"
"Russia","russia","$479,844,000,000","2019",26,"Central Asia"
"Portugal","portugal","$462,431,000,000","2019",27,"Europe"
"Korea, South","korea-south","$457,745,000,000","2019",28,"East and Southeast Asia"
"Mexico","mexico","$456,713,000,000","2019",29,"North America"
"Turkey (Turkiye)","turkey-turkiye","$438,677,000,000","2019",30,"Middle East"
"Indonesia","indonesia","$393,252,000,000","2019",31,"East and Southeast Asia"
"Poland","poland","$351,770,000,000","2019",32,"Europe"
"Argentina","argentina","$278,524,000,000","2019",33,"South America"
"United Arab Emirates","united-arab-emirates","$237,600,000,000","31 December 2017",34,"Middle East"
"Mauritius","mauritius","$226,799,000,000","2019",35,"Africa"
"Malaysia","malaysia","$224,596,000,000","2019",36,"East and Southeast Asia"
"Cyprus","cyprus","$213,190,000,000","2019",37,"Europe"
"Saudi Arabia","saudi-arabia","$205,100,000,000","31 December 2017",38,"Middle East"
"Chile","chile","$193,298,000,000","2019",39,"South America"
"Czechia","czechia","$191,871,000,000","2019",40,"Europe"
"New Zealand","new-zealand","$190,621,000,000","2019",41,"Australia and Oceania"
"Taiwan","taiwan","$189,684,000,000","2019",42,"East and Southeast Asia"
"South Africa","south-africa","$179,871,000,000","2019",43,"Africa"
"Thailand","thailand","$167,890,000,000","2019",44,"East and Southeast Asia"
"Qatar","qatar","$167,800,000,000","31 December 2017",45,"Middle East"
"Kazakhstan","kazakhstan","$159,351,000,000","2019",46,"Central Asia"
"Colombia","colombia","$135,644,000,000","2019",47,"South America"
"Israel","israel","$132,500,000,000","31 December 2020",48,"Middle East"
"Hungary","hungary","$123,256,000,000","2019",49,"Europe"
"Romania","romania","$117,829,000,000","2019",50,"Europe"
"Ukraine","ukraine","$117,410,000,000","2019",51,"Europe"
"Slovakia","slovakia","$115,853,000,000","2019",52,"Europe"
"Egypt","egypt","$109,238,000,000","2019",53,"Africa"
"Pakistan","pakistan","$107,527,000,000","2019",54,"South Asia"
"Panama","panama","$101,393,000,000","2019",55,"Central America and the Caribbean"
