name,slug,% of GDP,date_of_information,ranking,region
"Marshall Islands","marshall-islands","13.6","2020",1,"Australia and Oceania"
"Solomon Islands","solomon-islands","12.8","2020",2,"Australia and Oceania"
"Kiribati","kiribati","12.4","2019",3,"Australia and Oceania"
"Greenland","greenland","10.2","2019",4,"North America"
"Bolivia","bolivia","9.8","2020",5,"South America"
"Micronesia, Federated States of","micronesia-federated-states-of","9.7","2018",6,"Australia and Oceania"
"Namibia","namibia","9.6","2021",7,"Africa"
"Sierra Leone","sierra-leone","9.1","2021",8,"Africa"
"Belize","belize","8.7","2021",9,"Central America and the Caribbean"
"Botswana","botswana","8.7","2020",10,"Africa"
"Lesotho","lesotho","8.7","2021",11,"Africa"
"Saudi Arabia","saudi-arabia","7.8","2020",12,"Middle East"
"Iceland","iceland","7.7","2020",13,"Europe"
"Faroe Islands","faroe-islands","7.6","2019",14,"Europe"
"Cabo Verde","cabo-verde","7.6","2020",15,"Africa"
"Curacao","curacao","7.4","2020",16,"Central America and the Caribbean"
"Tunisia","tunisia","7.3","2016",17,"Africa"
"Sweden","sweden","7.2","2020",18,"Europe"
"Israel","israel","7.1","2020",19,"Middle East"
"Nauru","nauru","7.1","2021",20,"Australia and Oceania"
"Algeria","algeria","7","2020",21,"Africa"
"Bhutan","bhutan","7","2021",22,"South Asia"
"Morocco","morocco","6.8","2020",23,"Africa"
"Palau","palau","6.8","2019",24,"Australia and Oceania"
"Belgium","belgium","6.7","2020",25,"Europe"
"Costa Rica","costa-rica","6.7","2020",26,"Central America and the Caribbean"
"South Africa","south-africa","6.6","2021",27,"Africa"
"Tonga","tonga","6.6","2021",28,"Australia and Oceania"
"Estonia","estonia","6.6","2020",29,"Europe"
"Kuwait","kuwait","6.6","2020",30,"Middle East"
"Barbados","barbados","6.5","2021",31,"Central America and the Caribbean"
"Denmark","denmark","6.4","2020",32,"Europe"
"Moldova","moldova","6.4","2020",33,"Europe"
"Honduras","honduras","6.4","2020",34,"Central America and the Caribbean"
"Mozambique","mozambique","6.3","2020",35,"Africa"
"Macau","macau","6.3","2020",36,"East and Southeast Asia"
"Kyrgyzstan","kyrgyzstan","6.2","2020",37,"Central Asia"
"Australia","australia","6.1","2020",38,"Australia and Oceania"
"Cyprus","cyprus","6.1","2020",39,"Europe"
"United States","united-states","6.1","2020",40,"North America"
"Brazil","brazil","6","2019",41,"South America"
"New Zealand","new-zealand","6","2020",42,"Australia and Oceania"
"Jamaica","jamaica","6","2021",43,"Central America and the Caribbean"
